293,Race Track Road,Harrisburg,PA,17100,NULL,10/24/2008
295,Tamarack Road,Salt Lake City,UT,84100,NULL,10/26/2008
297,Valley Road,Olympia,WA,98507,NULL,10/28/2008
299,Apple Lane,Juneau,AK,99801,NULL,10/30/2008
301,Cannery Row,Phoenix,AZ,85011,NULL,11/1/2008
303,Elm Street,Denver,CO,80201,NULL,11/3/2008
305,Goshen Road,Tallahassee,FL,32301,NULL,11/5/2008
307,Island Drive,Honolulu,HI,96800-3017,NULL,11/7/2008
309,King Street,Baton Rouge,LA,70800,NULL,11/9/2008
311,Maple Street,Annapolis,MD,21400,NULL,11/11/2008
313,Oak Drive,Carson City,NV,89701,NULL,11/13/2008
315,Queen Ann Drive,Salem,OR,97301,NULL,11/15/2008
317,Stoney Way,Austin,TX,73301,NULL,11/17/2008
319,University Lane,Richmond,VA,23173-1823,NULL,11/19/2008
321,Willow Road,Charleston,WV,25300,NULL,11/21/2008
323,Bowery Estates,Montgomery,AL,36100,NULL,11/23/2008
325,Dogwood Drive,Sacramento,CA,94203,NULL,11/25/2008
327,Fir Street,Washington,DC,20510-0001,NULL,11/27/2008
329,The Highlands,Atlanta,GA,30026,NULL,11/29/2008
331,James Road,Springfield,IL,62700,NULL,12/1/2008
333,Larch Mont Road,Boston,MA,02138-7190,NULL,12/3/2008
335,New Pike Road,Trenton,NJ,8600,NULL,12/5/2008
337,Pine Place,Albany,NY,12200-2837,NULL,12/7/2008
339,Race Track Road,Harrisburg,PA,17100,NULL,12/9/2008
341,Tamarack Road,Salt Lake City,UT,84100,NULL,12/11/2008
343,Valley Road,Olympia,WA,98507,NULL,12/13/2008
345,Apple Lane,Juneau,AK,99801,NULL,12/15/2008
347,Cannery Row,Phoenix,AZ,85011,NULL,12/17/2008
349,Elm Street,Denver,CO,80201,NULL,12/19/2008
351,Goshen Road,Tallahassee,FL,32301,NULL,12/21/2008
353,Island Drive,Honolulu,HI,96800-3017,NULL,12/23/2008
355,King Street,Baton Rouge,LA,70800,NULL,12/25/2008
357,Maple Street,Annapolis,MD,21400,NULL,12/27/2008
359,Oak Drive,Carson City,NV,89701,NULL,12/29/2008
361,Queen Ann Drive,Salem,OR,97301,NULL,12/31/2008
363,Stoney Way,Austin,TX,73301,NULL,1/2/2009
365,University Lane,Richmond,VA,23173-1823,NULL,1/5/2008
367,Willow Road,Charleston,WV,25300,NULL,1/7/2008
369,Bowery Estates,Montgomery,AL,36100,NULL,1/9/2008
371,Dogwood Drive,Sacramento,CA,94203,NULL,1/11/2008
373,Fir Street,Washington,DC,20510-0001,NULL,1/13/2008
375,The Highlands,Atlanta,GA,30026,NULL,1/15/2008
377,James Road,Springfield,IL,62700,NULL,1/17/2008
379,Larch Mont Road,Boston,MA,02138-7190,NULL,1/19/2008
381,New Pike Road,Trenton,NJ,8600,NULL,1/21/2008
383,Pine Place,Albany,NY,12200-2837,NULL,1/23/2008
385,Race Track Road,Harrisburg,PA,17100,NULL,1/25/2008
387,Tamarack Road,Salt Lake City,UT,84100,NULL,1/27/2008
389,Valley Road,Olympia,WA,98507,NULL,1/29/2008
391,Apple Lane,Juneau,AK,99801,NULL,1/31/2008
393,Cannery Row,Phoenix,AZ,85011,NULL,2/2/2008
395,Elm Street,Denver,CO,80201,NULL,2/4/2008
397,Goshen Road,Tallahassee,FL,32301,NULL,2/6/2008
399,Island Drive,Honolulu,HI,96800-3017,NULL,2/8/2008
401,King Street,Baton Rouge,LA,70800,NULL,2/10/2008
403,Maple Street,Annapolis,MD,21400,NULL,2/12/2008
405,Oak Drive,Carson City,NV,89701,NULL,2/14/2008
407,Queen Ann Drive,Salem,OR,97301,NULL,2/16/2008
409,Stoney Way,Austin,TX,73301,NULL,2/18/2008
411,University Lane,Richmond,VA,23173-1823,NULL,2/20/2008
413,Willow Road,Charleston,WV,25300,NULL,2/22/2008
415,Bowery Estates,Montgomery,AL,36100,NULL,2/24/2008
417,Dogwood Drive,Sacramento,CA,94203,NULL,2/26/2008
419,Fir Street,Washington,DC,20510-0001,NULL,2/28/2008
421,The Highlands,Atlanta,GA,30026,NULL,3/1/2008
423,James Road,Springfield,IL,62700,NULL,3/3/2008
425,Larch Mont Road,Boston,MA,02138-7190,NULL,3/5/2008
427,New Pike Road,Trenton,NJ,8600,NULL,3/7/2008
429,Pine Place,Albany,NY,12200-2837,NULL,3/9/2008
431,Race Track Road,Harrisburg,PA,17100,NULL,3/11/2008
433,Tamarack Road,Salt Lake City,UT,84100,NULL,3/13/2008
435,Valley Road,Olympia,WA,98507,NULL,3/15/2008
437,Apple Lane,Juneau,AK,99801,NULL,3/17/2008
439,Cannery Row,Phoenix,AZ,85011,NULL,3/19/2008
441,Elm Street,Denver,CO,80201,NULL,3/21/2008
443,Goshen Road,Tallahassee,FL,32301,NULL,3/23/2008
445,Island Drive,Honolulu,HI,96800-3017,NULL,3/25/2008
447,King Street,Baton Rouge,LA,70800,NULL,3/27/2008
449,Maple Street,Annapolis,MD,21400,NULL,3/29/2008
451,Oak Drive,Carson City,NV,89701,NULL,3/31/2008
453,Queen Ann Drive,Salem,OR,97301,NULL,4/2/2008
455,Stoney Way,Austin,TX,73301,NULL,4/4/2008
457,University Lane,Richmond,VA,23173-1823,NULL,4/6/2008
459,Willow Road,Charleston,WV,25300,NULL,4/8/2008
461,Bowery Estates,Montgomery,AL,36100,NULL,4/10/2008
463,Dogwood Drive,Sacramento,CA,94203,NULL,4/12/2008
465,Fir Street,Washington,DC,20510-0001,NULL,4/14/2008
467,The Highlands,Atlanta,GA,30026,NULL,4/16/2008
469,James Road,Springfield,IL,62700,NULL,4/18/2008
471,Larch Mont Road,Boston,MA,02138-7190,NULL,4/20/2008
473,New Pike Road,Trenton,NJ,8600,NULL,4/22/2008
475,Pine Place,Albany,NY,12200-2837,NULL,4/24/2008
477,Race Track Road,Harrisburg,PA,17100,NULL,4/26/2008
479,Tamarack Road,Salt Lake City,UT,84100,NULL,4/28/2008
481,Valley Road,Olympia,WA,98507,NULL,4/30/2008
483,Apple Lane,Juneau,AK,99801,NULL,5/2/2008
485,Cannery Row,Phoenix,AZ,85011,NULL,5/4/2008
487,Elm Street,Denver,CO,80201,NULL,5/6/2008
489,Goshen Road,Tallahassee,FL,32301,NULL,5/8/2008
491,Island Drive,Honolulu,HI,96800-3017,NULL,5/10/2008
493,King Street,Baton Rouge,LA,70800,NULL,5/12/2008
495,Maple Street,Annapolis,MD,21400,NULL,5/14/2008
497,Oak Drive,Carson City,NV,89701,NULL,5/16/2008
499,Queen Ann Drive,Salem,OR,97301,NULL,5/18/2008
501,Stoney Way,Austin,TX,73301,NULL,5/20/2008
503,University Lane,Richmond,VA,23173-1823,NULL,5/22/2008
505,Willow Road,Charleston,WV,25300,NULL,5/24/2008
507,Bowery Estates,Montgomery,AL,36100,NULL,5/26/2008
509,Dogwood Drive,Sacramento,CA,94203,NULL,5/28/2008
511,Fir Street,Washington,DC,20510-0001,NULL,5/30/2008
513,The Highlands,Atlanta,GA,30026,NULL,6/1/2008
515,James Road,Springfield,IL,62700,NULL,6/3/2008
517,Larch Mont Road,Boston,MA,02138-7190,NULL,6/5/2008
519,New Pike Road,Trenton,NJ,8600,NULL,6/7/2008
521,Pine Place,Albany,NY,12200-2837,NULL,6/9/2008
523,Race Track Road,Harrisburg,PA,17100,NULL,6/11/2008
525,Tamarack Road,Salt Lake City,UT,84100,NULL,6/13/2008
527,Valley Road,Olympia,WA,98507,NULL,6/15/2008
529,Apple Lane,Juneau,AK,99801,NULL,6/17/2008
531,Cannery Row,Phoenix,AZ,85011,NULL,6/19/2008
533,Elm Street,Denver,CO,80201,NULL,6/21/2008
535,Goshen Road,Tallahassee,FL,32301,NULL,6/23/2008
537,Island Drive,Honolulu,HI,96800-3017,NULL,6/25/2008
539,King Street,Baton Rouge,LA,70800,NULL,6/27/2008
541,Maple Street,Annapolis,MD,21400,NULL,6/29/2008
543,Oak Drive,Carson City,NV,89701,NULL,7/1/2008
545,Queen Ann Drive,Salem,OR,97301,NULL,7/3/2008
547,Stoney Way,Austin,TX,73301,NULL,7/5/2008
549,University Lane,Richmond,VA,23173-1823,NULL,7/7/2008
551,Willow Road,Charleston,WV,25300,NULL,7/9/2008
553,Bowery Estates,Montgomery,AL,36100,NULL,7/11/2008
555,Dogwood Drive,Sacramento,CA,94203,NULL,7/13/2008
557,Fir Street,Washington,DC,20510-0001,NULL,7/15/2008
559,The Highlands,Atlanta,GA,30026,NULL,7/17/2008
561,James Road,Springfield,IL,62700,NULL,7/19/2008
563,Larch Mont Road,Boston,MA,02138-7190,NULL,7/21/2008
565,New Pike Road,Trenton,NJ,8600,NULL,7/23/2008
567,Pine Place,Albany,NY,12200-2837,NULL,7/25/2008
569,Race Track Road,Harrisburg,PA,17100,NULL,7/27/2008
571,Tamarack Road,Salt Lake City,UT,84100,NULL,7/29/2008
573,Valley Road,Olympia,WA,98507,NULL,7/31/2008
575,Apple Lane,Juneau,AK,99801,NULL,8/2/2008
577,Cannery Row,Phoenix,AZ,85011,NULL,8/4/2008
579,Elm Street,Denver,CO,80201,NULL,8/6/2008
581,Goshen Road,Tallahassee,FL,32301,NULL,8/8/2008
583,Island Drive,Honolulu,HI,96800-3017,NULL,8/10/2008
585,King Street,Baton Rouge,LA,70800,NULL,8/12/2008
587,Maple Street,Annapolis,MD,21400,NULL,8/14/2008
589,Oak Drive,Carson City,NV,89701,NULL,8/16/2008
591,Queen Ann Drive,Salem,OR,97301,NULL,8/18/2008
593,Stoney Way,Austin,TX,73301,NULL,8/20/2008
595,University Lane,Richmond,VA,23173-1823,NULL,8/22/2008
597,Willow Road,Charleston,WV,25300,NULL,8/24/2008
599,Bowery Estates,Montgomery,AL,36100,NULL,8/26/2008
601,Dogwood Drive,Sacramento,CA,94203,NULL,8/28/2008
603,Fir Street,Washington,DC,20510-0001,NULL,8/30/2008
605,The Highlands,Atlanta,GA,30026,NULL,9/1/2008
607,James Road,Springfield,IL,62700,NULL,9/3/2008
609,Larch Mont Road,Boston,MA,02138-7190,NULL,9/5/2008
611,New Pike Road,Trenton,NJ,8600,NULL,9/7/2008
613,Pine Place,Albany,NY,12200-2837,NULL,9/9/2008
615,Race Track Road,Harrisburg,PA,17100,NULL,9/11/2008
617,Tamarack Road,Salt Lake City,UT,84100,NULL,9/13/2008
619,Valley Road,Olympia,WA,98507,NULL,9/15/2008
621,Apple Lane,Juneau,AK,99801,NULL,9/17/2008
623,Cannery Row,Phoenix,AZ,85011,NULL,9/19/2008
625,Elm Street,Denver,CO,80201,NULL,9/21/2008
627,Goshen Road,Tallahassee,FL,32301,NULL,9/23/2008
629,Island Drive,Honolulu,HI,96800-3017,NULL,9/25/2008
631,King Street,Baton Rouge,LA,70800,NULL,9/27/2008
633,Maple Street,Annapolis,MD,21400,NULL,9/29/2008
635,Oak Drive,Carson City,NV,89701,NULL,10/1/2008
637,Queen Ann Drive,Salem,OR,97301,NULL,10/3/2008
639,Stoney Way,Austin,TX,73301,NULL,10/5/2008
641,University Lane,Richmond,VA,23173-1823,NULL,10/7/2008
643,Willow Road,Charleston,WV,25300,NULL,10/9/2008
645,Bowery Estates,Montgomery,AL,36100,NULL,10/11/2008
647,Dogwood Drive,Sacramento,CA,94203,NULL,10/13/2008
649,Fir Street,Washington,DC,20510-0001,NULL,10/15/2008
651,The Highlands,Atlanta,GA,30026,NULL,10/17/2008
653,James Road,Springfield,IL,62700,NULL,10/19/2008
655,Larch Mont Road,Boston,MA,02138-7190,NULL,10/21/2008
657,New Pike Road,Trenton,NJ,8600,NULL,10/23/2008
659,Pine Place,Albany,NY,12200-2837,NULL,10/25/2008
661,Race Track Road,Harrisburg,PA,17100,NULL,10/27/2008
663,Tamarack Road,Salt Lake City,UT,84100,NULL,10/29/2008
665,Valley Road,Olympia,WA,98507,NULL,10/31/2008
667,Apple Lane,Juneau,AK,99801,NULL,11/2/2008
669,Cannery Row,Phoenix,AZ,85011,NULL,11/4/2008
671,Elm Street,Denver,CO,80201,NULL,11/6/2008
673,Goshen Road,Tallahassee,FL,32301,NULL,11/8/2008
675,Island Drive,Honolulu,HI,96800-3017,NULL,11/10/2008
677,King Street,Baton Rouge,LA,70800,NULL,11/12/2008
679,Maple Street,Annapolis,MD,21400,NULL,11/14/2008
681,Oak Drive,Carson City,NV,89701,NULL,11/16/2008
683,Queen Ann Drive,Salem,OR,97301,NULL,11/18/2008
685,Stoney Way,Austin,TX,73301,NULL,11/20/2008
687,University Lane,Richmond,VA,23173-1823,NULL,11/22/2008
689,Willow Road,Charleston,WV,25300,NULL,11/24/2008
691,Bowery Estates,Montgomery,AL,36100,NULL,11/26/2008
693,Dogwood Drive,Sacramento,CA,94203,NULL,11/28/2008
695,Fir Street,Washington,DC,20510-0001,NULL,11/30/2008
697,The Highlands,Atlanta,GA,30026,NULL,12/2/2008
699,James Road,Springfield,IL,62700,NULL,12/4/2008
701,Larch Mont Road,Boston,MA,02138-7190,NULL,12/6/2008
703,New Pike Road,Trenton,NJ,8600,NULL,12/8/2008
705,Pine Place,Albany,NY,12200-2837,NULL,12/10/2008
707,Race Track Road,Harrisburg,PA,17100,NULL,12/12/2008
709,Tamarack Road,Salt Lake City,UT,84100,NULL,12/14/2008
711,Valley Road,Olympia,WA,98507,NULL,12/16/2008
713,Apple Lane,Juneau,AK,99801,NULL,12/18/2008
715,Cannery Row,Phoenix,AZ,85011,NULL,12/20/2008
717,Elm Street,Denver,CO,80201,NULL,12/22/2008
719,Goshen Road,Tallahassee,FL,32301,NULL,12/24/2008
721,Island Drive,Honolulu,HI,96800-3017,NULL,12/26/2008
723,King Street,Baton Rouge,LA,70800,NULL,12/28/2008
725,Maple Street,Annapolis,MD,21400,NULL,12/30/2008
727,Oak Drive,Carson City,NV,89701,NULL,1/1/2009
729,Queen Ann Drive,Salem,OR,97301,NULL,1/3/2009
731,Stoney Way,Austin,TX,73301,NULL,1/6/2008
733,University Lane,Richmond,VA,23173-1823,NULL,1/8/2008
735,Willow Road,Charleston,WV,25300,NULL,1/10/2008
737,Bowery Estates,Montgomery,AL,36100,NULL,1/12/2008
739,Dogwood Drive,Sacramento,CA,94203,NULL,1/14/2008
741,Fir Street,Washington,DC,20510-0001,NULL,1/16/2008
743,The Highlands,Atlanta,GA,30026,NULL,1/18/2008
745,James Road,Springfield,IL,62700,NULL,1/20/2008
747,Larch Mont Road,Boston,MA,02138-7190,NULL,1/22/2008
749,New Pike Road,Trenton,NJ,8600,NULL,1/24/2008
751,Pine Place,Albany,NY,12200-2837,NULL,1/26/2008
753,Race Track Road,Harrisburg,PA,17100,NULL,1/28/2008
755,Tamarack Road,Salt Lake City,UT,84100,NULL,1/30/2008
757,Valley Road,Olympia,WA,98507,NULL,2/1/2008
759,Apple Lane,Juneau,AK,99801,NULL,2/3/2008
761,Cannery Row,Phoenix,AZ,85011,NULL,2/5/2008
763,Elm Street,Denver,CO,80201,NULL,2/7/2008
765,Goshen Road,Tallahassee,FL,32301,NULL,2/9/2008
767,Island Drive,Honolulu,HI,96800-3017,NULL,2/11/2008
769,King Street,Baton Rouge,LA,70800,NULL,2/13/2008
771,Maple Street,Annapolis,MD,21400,NULL,2/15/2008
773,Oak Drive,Carson City,NV,89701,NULL,2/17/2008
775,Queen Ann Drive,Salem,OR,97301,NULL,2/19/2008
777,Stoney Way,Austin,TX,73301,NULL,2/21/2008
779,University Lane,Richmond,VA,23173-1823,NULL,2/23/2008
781,Willow Road,Charleston,WV,25300,NULL,2/25/2008
783,Bowery Estates,Montgomery,AL,36100,NULL,2/27/2008
785,Dogwood Drive,Sacramento,CA,94203,NULL,2/29/2008
787,Fir Street,Washington,DC,20510-0001,NULL,3/2/2008
789,The Highlands,Atlanta,GA,30026,NULL,3/4/2008
791,James Road,Springfield,IL,62700,NULL,3/6/2008
793,Larch Mont Road,Boston,MA,02138-7190,NULL,3/8/2008
795,New Pike Road,Trenton,NJ,8600,NULL,3/10/2008
797,Pine Place,Albany,NY,12200-2837,NULL,3/12/2008
799,Race Track Road,Harrisburg,PA,17100,NULL,3/14/2008
801,Tamarack Road,Salt Lake City,UT,84100,NULL,3/16/2008
803,Valley Road,Olympia,WA,98507,NULL,3/18/2008
805,Apple Lane,Juneau,AK,99801,NULL,3/20/2008
807,Cannery Row,Phoenix,AZ,85011,NULL,3/22/2008
809,Elm Street,Denver,CO,80201,NULL,3/24/2008
811,Goshen Road,Tallahassee,FL,32301,NULL,3/26/2008
813,Island Drive,Honolulu,HI,96800-3017,NULL,3/28/2008
815,King Street,Baton Rouge,LA,70800,NULL,3/30/2008
817,Maple Street,Annapolis,MD,21400,NULL,4/1/2008
819,Oak Drive,Carson City,NV,89701,NULL,4/3/2008
821,Queen Ann Drive,Salem,OR,97301,NULL,4/5/2008
823,Stoney Way,Austin,TX,73301,NULL,4/7/2008
825,University Lane,Richmond,VA,23173-1823,NULL,4/9/2008
827,Willow Road,Charleston,WV,25300,NULL,4/11/2008
829,Bowery Estates,Montgomery,AL,36100,NULL,4/13/2008
831,Dogwood Drive,Sacramento,CA,94203,NULL,4/15/2008
833,Fir Street,Washington,DC,20510-0001,NULL,4/17/2008
835,The Highlands,Atlanta,GA,30026,NULL,4/19/2008
837,James Road,Springfield,IL,62700,NULL,4/21/2008
839,Larch Mont Road,Boston,MA,02138-7190,NULL,4/23/2008
841,New Pike Road,Trenton,NJ,8600,NULL,4/25/2008
843,Pine Place,Albany,NY,12200-2837,NULL,4/27/2008
845,Race Track Road,Harrisburg,PA,17100,NULL,4/29/2008
847,Tamarack Road,Salt Lake City,UT,84100,NULL,5/1/2008
849,Valley Road,Olympia,WA,98507,NULL,5/3/2008
851,Apple Lane,Juneau,AK,99801,NULL,5/5/2008
853,Cannery Row,Phoenix,AZ,85011,NULL,5/7/2008
855,Elm Street,Denver,CO,80201,NULL,5/9/2008
857,Goshen Road,Tallahassee,FL,32301,NULL,5/11/2008
859,Island Drive,Honolulu,HI,96800-3017,NULL,5/13/2008
861,King Street,Baton Rouge,LA,70800,NULL,5/15/2008
863,Maple Street,Annapolis,MD,21400,NULL,5/17/2008
865,Oak Drive,Carson City,NV,89701,NULL,5/19/2008
867,Queen Ann Drive,Salem,OR,97301,NULL,5/21/2008
869,Stoney Way,Austin,TX,73301,NULL,5/23/2008
871,University Lane,Richmond,VA,23173-1823,NULL,5/25/2008
873,Willow Road,Charleston,WV,25300,NULL,5/27/2008
875,Bowery Estates,Montgomery,AL,36100,NULL,5/29/2008
877,Dogwood Drive,Sacramento,CA,94203,NULL,5/31/2008
